,timestamp,date,time,target_label,day,transaction,volume_5min,volume_norm,barsize_5min,barsize_5min_norm,topping_tail,bottoming_tail,inside_wicks,inside_body,sma_90_norm,sma_90_slope,avwap_2day,gap,gap_up
17,2023-12-13 07:35:00,2023-12-13,07:35:00,0,Wednesday,1.0,29617.0,0.8708257069559913,40.0,0.23,0.0072,0.0217,0.0,1.0,1.0132,0.0228,0.045,1.01,1
18,2023-12-14 07:40:00,2023-12-14,07:40:00,0,Thursday,1.0,29997.0,0.8829983736486934,47.75,0.27,0.0686,0.0529,0.0,0.0,1.0118,0.028,0.1056,0.24,1
19,2023-12-15 07:35:00,2023-12-15,07:35:00,0,Friday,1.0,32782.0,0.9808524038842737,39.75,0.23,0.1518,0.0458,1.0,1.0,1.0018,-0.0007,0.1322,0.19,1
20,2023-12-18 07:35:00,2023-12-18,07:35:00,1,Monday,1.0,31228.0,0.9305319240866168,41.0,0.23,0.04,0.087,0.0,1.0,1.0015,0.0088,0.0112,0.16,1
21,2023-12-19 07:40:00,2023-12-19,07:40:00,1,Tuesday,1.0,32376.0,0.9649887558065193,44.75,0.25,0.0766,0.0482,1.0,0.0,1.0023,0.0099,0.0865,0.09,1
22,2023-12-20 07:35:00,2023-12-20,07:35:00,1,Wednesday,1.0,25576.0,0.7606245353159852,24.5,0.14,0.0184,0.0906,1.0,1.0,0.9998,0.0017,0.0735,-0.21,0
23,2023-12-21 07:35:00,2023-12-21,07:35:00,1,Thursday,0.0,35986.0,1.0696334782854238,49.5,0.28,0.1563,0.0653,1.0,1.0,0.9956,-0.0042,-0.0006,0.94,1
24,2023-12-26 07:35:00,2023-12-26,07:35:00,1,Tuesday,1.0,25697.0,0.7693781680673779,28.25,0.16,0.0071,0.0254,0.0,1.0,1.0078,0.0144,0.0283,0.35,1
25,2023-12-27 08:00:00,2023-12-27,08:00:00,0,Wednesday,1.0,27513.0,0.8237523802680272,31.25,0.18,0.0647,0.0014,1.0,0.0,1.003,0.0148,0.0229,0.05,1
26,2023-12-28 07:35:00,2023-12-28,07:35:00,1,Thursday,0.0,24922.0,0.7661942386325207,36.5,0.2,0.0617,0.028,0.0,0.0,1.0035,0.0032,-0.0375,0.19,1
27,2023-12-29 07:35:00,2023-12-29,07:35:00,0,Friday,0.0,17605.0,0.5571361209654706,19.5,0.11,0.0591,0.045,1.0,0.0,0.9985,0.0003,0.0086,-0.01,0
28,2024-01-03 07:35:00,2024-01-03,07:35:00,0,Wednesday,1.0,45876.0,1.421568323655001,44.25,0.26,0.0753,0.1722,0.0,0.0,0.9757,-0.0323,0.0211,-2.4,0
29,2024-01-04 07:35:00,2024-01-04,07:35:00,1,Thursday,1.0,33544.0,1.0429067325375148,47.5,0.28,0.0511,0.0614,0.0,0.0,0.9891,-0.0363,0.0621,-0.53,0
30,2024-01-05 07:35:00,2024-01-05,07:35:00,0,Friday,1.0,32294.0,1.0165431426462417,51.25,0.3,0.0029,0.0716,1.0,1.0,0.9961,-0.0062,-0.0375,0.03,1
31,2024-01-08 07:35:00,2024-01-08,07:35:00,1,Monday,1.0,27174.0,0.8603287574084393,44.75,0.26,0.0146,0.0408,0.0,1.0,1.0015,0.004,0.1704,0.29,1
32,2024-01-09 07:40:00,2024-01-09,07:40:00,0,Tuesday,0.0,36615.0,1.139323220536756,49.5,0.29,0.0202,0.013,1.0,1.0,1.0,0.0195,-0.0864,-0.79,0
33,2024-01-10 07:35:00,2024-01-10,07:35:00,0,Wednesday,1.0,31012.0,0.9852179189447634,35.25,0.2,0.0942,0.0043,1.0,0.0,1.0026,0.0048,0.0467,0.05,1
34,2024-01-11 07:35:00,2024-01-11,07:35:00,0,Thursday,1.0,41098.0,1.3110016252745342,44.0,0.25,0.0127,0.058,0.0,0.0,1.0054,0.0118,0.0346,0.25,1
